"Statistic Label","Fuel Type","Year","UNIT","VALUE"
"Primary Energy Production (ktoe)","Biomass","2008","ktoe","163"
"Primary Energy Production (ktoe)","Biomass","2009","ktoe","182"
"Primary Energy Production (ktoe)","Biomass","2010","ktoe","197"
"Primary Energy Production (ktoe)","Biomass","2011","ktoe","193"
"Primary Energy Production (ktoe)","Biomass","2012","ktoe","222"
"Primary Energy Production (ktoe)","Biomass","2013","ktoe","232"
"Primary Energy Production (ktoe)","Biomass","2014","ktoe","262"
"Primary Energy Production (ktoe)","Biomass","2015","ktoe","260"
"Primary Energy Production (ktoe)","Biomass","2016","ktoe","293"
"Primary Energy Production (ktoe)","Biomass","2017","ktoe","341"
"Primary Energy Production (ktoe)","Biomass","2018","ktoe","389"
"Primary Energy Production (ktoe)","Biomass","2019","ktoe","374"
"Primary Energy Production (ktoe)","Biomass","2020","ktoe","369"
"Primary Energy Production (ktoe)","Biomass","2021","ktoe","376"
"Primary Energy Production (ktoe)","Biomass","2022","ktoe","403"
"Primary Energy Production (ktoe)","Landfill gas","1990","ktoe","-"
"Primary Energy Production (ktoe)","Landfill gas","1991","ktoe","-"
"Primary Energy Production (ktoe)","Landfill gas","1992","ktoe","-"
"Primary Energy Production (ktoe)","Landfill gas","1993","ktoe","-"
"Primary Energy Production (ktoe)","Landfill gas","1994","ktoe","-"
"Primary Energy Production (ktoe)","Landfill gas","1995","ktoe","-"
"Primary Energy Production (ktoe)","Landfill gas","1996","ktoe","7"
"Primary Energy Production (ktoe)","Landfill gas","1997","ktoe","22"
"Primary Energy Production (ktoe)","Landfill gas","1998","ktoe","21"
"Primary Energy Production (ktoe)","Landfill gas","1999","ktoe","23"
"Primary Energy Production (ktoe)","Landfill gas","2000","ktoe","24"
"Primary Energy Production (ktoe)","Landfill gas","2001","ktoe","24"
"Primary Energy Production (ktoe)","Landfill gas","2002","ktoe","19"
"Primary Energy Production (ktoe)","Landfill gas","2003","ktoe","16"
"Primary Energy Production (ktoe)","Landfill gas","2004","ktoe","20"
"Primary Energy Production (ktoe)","Landfill gas","2005","ktoe","25"
"Primary Energy Production (ktoe)","Landfill gas","2006","ktoe","25"
"Primary Energy Production (ktoe)","Landfill gas","2007","ktoe","36"
"Primary Energy Production (ktoe)","Landfill gas","2008","ktoe","39"
"Primary Energy Production (ktoe)","Landfill gas","2009","ktoe","42"
"Primary Energy Production (ktoe)","Landfill gas","2010","ktoe","44"
"Primary Energy Production (ktoe)","Landfill gas","2011","ktoe","44"
"Primary Energy Production (ktoe)","Landfill gas","2012","ktoe","43"
"Primary Energy Production (ktoe)","Landfill gas","2013","ktoe","38"
"Primary Energy Production (ktoe)","Landfill gas","2014","ktoe","39"
"Primary Energy Production (ktoe)","Landfill gas","2015","ktoe","42"
"Primary Energy Production (ktoe)","Landfill gas","2016","ktoe","40"
"Primary Energy Production (ktoe)","Landfill gas","2017","ktoe","39"
"Primary Energy Production (ktoe)","Landfill gas","2018","ktoe","34"
"Primary Energy Production (ktoe)","Landfill gas","2019","ktoe","32"
"Primary Energy Production (ktoe)","Landfill gas","2020","ktoe","29"
"Primary Energy Production (ktoe)","Landfill gas","2021","ktoe","29"
"Primary Energy Production (ktoe)","Landfill gas","2022","ktoe","26"
"Primary Energy Production (ktoe)","Biogas","1990","ktoe","2"
"Primary Energy Production (ktoe)","Biogas","1991","ktoe","3"
"Primary Energy Production (ktoe)","Biogas","1992","ktoe","3"
"Primary Energy Production (ktoe)","Biogas","1993","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","1994","ktoe","2"
"Primary Energy Production (ktoe)","Biogas","1995","ktoe","3"
"Primary Energy Production (ktoe)","Biogas","1996","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","1997","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","1998","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","1999","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","2000","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","2001","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","2002","ktoe","4"
"Primary Energy Production (ktoe)","Biogas","2003","ktoe","9"
"Primary Energy Production (ktoe)","Biogas","2004","ktoe","10"
"Primary Energy Production (ktoe)","Biogas","2005","ktoe","9"
"Primary Energy Production (ktoe)","Biogas","2006","ktoe","10"
"Primary Energy Production (ktoe)","Biogas","2007","ktoe","10"
"Primary Energy Production (ktoe)","Biogas","2008","ktoe","10"
"Primary Energy Production (ktoe)","Biogas","2009","ktoe","13"
"Primary Energy Production (ktoe)","Biogas","2010","ktoe","14"
"Primary Energy Production (ktoe)","Biogas","2011","ktoe","14"
"Primary Energy Production (ktoe)","Biogas","2012","ktoe","13"
"Primary Energy Production (ktoe)","Biogas","2013","ktoe","11"
"Primary Energy Production (ktoe)","Biogas","2014","ktoe","13"
"Primary Energy Production (ktoe)","Biogas","2015","ktoe","14"
"Primary Energy Production (ktoe)","Biogas","2016","ktoe","16"
"Primary Energy Production (ktoe)","Biogas","2017","ktoe","16"
"Primary Energy Production (ktoe)","Biogas","2018","ktoe","17"
"Primary Energy Production (ktoe)","Biogas","2019","ktoe","19"
"Primary Energy Production (ktoe)","Biogas","2020","ktoe","21"
"Primary Energy Production (ktoe)","Biogas","2021","ktoe","23"
"Primary Energy Production (ktoe)","Biogas","2022","ktoe","28"
"Primary Energy Production (ktoe)","Liquid Biofuel","1990","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1991","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1992","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1993","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1994","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1995","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1996","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1997","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1998","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","1999","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","2000","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","2001","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","2002","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","2003","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","2004","ktoe","-"
"Primary Energy Production (ktoe)","Liquid Biofuel","2005","ktoe","1"
"Primary Energy Production (ktoe)","Liquid Biofuel","2006","ktoe","3"
"Primary Energy Production (ktoe)","Liquid Biofuel","2007","ktoe","15"
"Primary Energy Production (ktoe)","Liquid Biofuel","2008","ktoe","24"
"Primary Energy Production (ktoe)","Liquid Biofuel","2009","ktoe","29"
"Primary Energy Production (ktoe)","Liquid Biofuel","2010","ktoe","26"
"Primary Energy Production (ktoe)","Liquid Biofuel","2011","ktoe","24"
"Primary Energy Production (ktoe)","Liquid Biofuel","2012","ktoe","24"
"Primary Energy Production (ktoe)","Liquid Biofuel","2013","ktoe","22"
"Primary Energy Production (ktoe)","Liquid Biofuel","2014","ktoe","23"
"Primary Energy Production (ktoe)","Liquid Biofuel","2015","ktoe","24"
"Primary Energy Production (ktoe)","Liquid Biofuel","2016","ktoe","24"
"Primary Energy Production (ktoe)","Liquid Biofuel","2017","ktoe","28"
"Primary Energy Production (ktoe)","Liquid Biofuel","2018","ktoe","34"
"Primary Energy Production (ktoe)","Liquid Biofuel","2019","ktoe","46"
"Primary Energy Production (ktoe)","Liquid Biofuel","2020","ktoe","57"
"Primary Energy Production (ktoe)","Liquid Biofuel","2021","ktoe","81"
"Primary Energy Production (ktoe)","Liquid Biofuel","2022","ktoe","104"
"Primary Energy Production (ktoe)","Solar","1990","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1991","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1992","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1993","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1994","ktoe","0"
